HOSTNAME,VENDOR,MODEL,IPS,SERIALS,STATUS,SITE_CODE,DIVISION,LOCATION,FW_TYPE
epo-fw-hgs-2:2,Cisco,FPR2130-NGFW-K9,10.108.152.13,JMX2622X1GJ,Offline,EPO,PCW,US > IL > East Peoria > 06453 - 06453B02,B2B
epsfire1,Cisco,ASA5520-BUN-K9,10.106.96.11,JMX1207L0R9,Offline,HGS,Aetna,US > TX > El Paso > HGS,
ewd-fw-pdchsdbar-f:1,Cisco,ASA5555-K9,,FGL1943707P,,PDC,Aetna,US > AZ > Phoenix > AZ0512 - AZ0512B01 (PDC),DMZ
ewd-fw-pdchsdbar-f:2,Cisco,ASA5555-K9,,FCH2126J6DC,,PDC,Aetna,US > AZ > Phoenix > AZ0512 - AZ0512B01 (PDC),DMZ
ewd-fw-pdchsdbar:1,Cisco,ASA5555-K9,,FTX2131W0CZ,,PDC,Aetna,US > AZ > Phoenix > AZ0512 - AZ0512B01 (PDC),DMZ
ewd-fw-pdchsdbar:2,Cisco,ASA5555-K9,,FCH19427EUA,,PDC,Aetna,US > AZ > Phoenix > AZ0512 - AZ0512B01 (PDC),DMZ
ewn-fw-conduent-1:1,Cisco,FPR2130-NGFW-K9,10.108.240.21,JMX2625X0U7,Offline,00432 - 00432B02,PCW,US > NJ > East Windsor > 00432 - 00432B02,
ewn-fw-conduent-1:2,Cisco,Firepower 2130 Threat Defense,10.108.240.21,JAD2624003A,Offline,00432 - 00432B02,PCW,US > NJ > East Windsor > 00432 - 00432B02,
ewn-fw-conduent-2:1,Cisco,Firepower 2130 Threat Defense,10.108.240.22,JAD262407Z6,Offline,00432 - 00432B02,PCW,US > NJ > East Windsor > 00432 - 00432B02,
ewn-fw-conduent-2:2,Cisco,FPR2130-NGFW-K9,10.108.240.22,JMX2625X0WK,Offline,00432 - 00432B02,PCW,US > NJ > East Windsor > 00432 - 00432B02,
exl-fw-equinix-a,Checkpoint,23000 Appliances,10.108.224.12,10.108.224.12,Offline,SLO,Aetna,EU > GB > LON > Equinix COLO (EXL),B2B
exl-fw-equinix-b,Checkpoint,23000 Appliances,10.108.224.13,10.108.224.13,Offline,SLO,Aetna,EU > GB > LON > Equinix COLO (EXL),B2B
ext-cloud/ext-cloud,Cisco,5585-SSP-60,10.0.127.20,JMX195180BN/EXT-CLOUD,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,PERIMETER
ext-fw-equinix-a,Checkpoint,23000 Appliances,172.19.3.251,172.19.3.251,Offline,EXT,Colo,US > TX > Dallas > Equinix COLO (EXT),B2B|PERIMETER
ext-fw-equinix-b,Checkpoint,23000 Appliances,172.19.3.252,172.19.3.252,Offline,EXT,Colo,US > TX > Dallas > Equinix COLO (EXT),B2B|PERIMETER
EXTERNAL-CLOUD/vendor14,Cisco,5585-SSP-60,10.218.232.36,JMX1748804X/vendor14,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,PERIMETER
exv-fw-equinix-a,Checkpoint,23000 Appliances,172.19.2.251,172.19.2.251,Offline,EXV,Colo,US > VA > Ashburn > Equinix COLO (EXV),B2B
exv-fw-equinix-b,Checkpoint,23000 Appliances,172.19.2.252,172.19.2.252,Offline,EXV,Colo,US > VA > Ashburn > Equinix COLO (EXV),B2B
FCH18457G28,Cisco,ASA5555-MB,,FCH18457G28,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FCH1944V3GS,Cisco,FS2000-K9,,FCH1944V3GS,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FGL1848407M,Cisco,ASA5555-K9,,FGL1848407M,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FGL1848407Y,Cisco,ASA5555-K9,,FGL1848407Y,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
fiserv/fiserv,Cisco,5585-SSP-60,,JMX195180BN/FISERV,,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
FJC28411QRS,Cisco,FPR-2130-NGFW-K9,,FJC28411QRS,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411QSG,Cisco,FPR-2130-NGFW-K9,,FJC28411QSG,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411QWY,Cisco,FPR-2130-NGFW-K9,,FJC28411QWY,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411QY9,Cisco,FPR-2130-NGFW-K9,,FJC28411QY9,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411QZ1,Cisco,FPR-2130-NGFW-K9,,FJC28411QZ1,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411R0S,Cisco,FPR-2130-NGFW-K9,,FJC28411R0S,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411R37,Cisco,FPR-2130-NGFW-K9,,FJC28411R37,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411R3Z,Cisco,FPR-2130-NGFW-K9,,FJC28411R3Z,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411R4R,Cisco,FPR-2130-NGFW-K9,,FJC28411R4R,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411R5T,Cisco,FPR-2130-NGFW-K9,,FJC28411R5T,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411RV7,Cisco,FPR-2130-NGFW-K9,,FJC28411RV7,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411S3Q,Cisco,FPR-2130-NGFW-K9,,FJC28411S3Q,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411S53,Cisco,FPR-2130-NGFW-K9,,FJC28411S53,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411S5S,Cisco,FPR-2130-NGFW-K9,,FJC28411S5S,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411S7J,Cisco,FPR-2130-NGFW-K9,,FJC28411S7J,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411TE4,Cisco,FPR-2130-NGFW-K9,,FJC28411TE4,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411TUZ,Cisco,FPR-2130-NGFW-K9,,FJC28411TUZ,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FJC28411TY7,Cisco,FPR-2130-NGFW-K9,,FJC28411TY7,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FLM281702QB,Cisco,FPR9K-SM-56,,FLM281702QB,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
frf-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.38.155.16,FTX2223W0N3,Offline,FRF,PSS,US > NJ > Fairfield > 01701 - 01701B01,INTERNAL|PCI
frf-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.38.155.17,FTX2235W0CE,Offline,FRF,PSS,US > NJ > Fairfield > 01701 - 01701B01,INTERNAL|PCI
FTX2047Y11J,Cisco,ASA5555-K9,,FTX2047Y11J,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2146W07K,Cisco,ASA5555-K9,,FTX2146W07K,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2147W0A3,Cisco,ASA5555-K9,,FTX2147W0A3,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2147W0A7,Cisco,ASA5555-K9,,FTX2147W0A7,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2147W0AH,Cisco,ASA5555-K9,,FTX2147W0AH,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2147W0AK,Cisco,ASA5555-K9,,FTX2147W0AK,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2147W0AT,Cisco,ASA5555-K9,,FTX2147W0AT,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2147W0G3,Cisco,ASA5555-K9,,FTX2147W0G3,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2148W0K0,Cisco,ASA5555-K9,,FTX2148W0K0,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2150W0LE,Cisco,ASA5555-K9,,FTX2150W0LE,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2150W0LG,Cisco,ASA5555-K9,,FTX2150W0LG,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2150W0LY,Cisco,ASA5555-K9,,FTX2150W0LY,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2150W0M4,Cisco,ASA5555-K9,,FTX2150W0M4,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2150W0MS,Cisco,ASA5555-K9,,FTX2150W0MS,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2235W0S7,Cisco,ASA5555-K9,,FTX2235W0S7,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2235W0T3,Cisco,ASA5555-K9,,FTX2235W0T3,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2241W010,Cisco,ASA5555-K9,,FTX2241W010,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
FTX2241W016,Cisco,ASA5555-K9,,FTX2241W016,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
geneva/geneva,Cisco,5585-SSP-60,10.0.127.35,JMX1952806K/GENEVA,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
grandview/grandview,Cisco,5585-SSP-60,10.0.127.30,JMX1952806K/GRANDVIEW,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
hbg-fw-stofpenn-a,Checkpoint,3000 Appliances,10.108.80.14,1704BA0503,Offline,Unknown Import,,Unknown Import,B2B
hbg-fw-stofpenn-b,Checkpoint,3000 Appliances,10.108.80.15,1701BA0673,Offline,Unknown Import,HCB,Unknown Import,B2B
heartland/heartland,Cisco,5585-SSP-60,10.218.232.34,JMX1748804X/heartland,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
hfd-mx-fitnesscenter-1:1,Cisco,MX84,10.1.10.122,Q2PN-F5MP-E5KQ,Offline,HFD,Aetna,US > CT > Hartford > CT99010 - CT99010B01,
hlb-fw-labdmz-1.aetna.com,Cisco,2130,10.80.92.155,JAD232913XK,Online,HFD,Aetna,US > CT > Hartford > CT1501 - CT1501B01,DMZ|LAB
hlb-fw-labdmz-2.aetna.com,Cisco,2130,10.80.92.156,JAD232913XM,Online,HFD,Aetna,US > CT > Hartford > CT1501 - CT1501B01,DMZ|LAB
HOL-SEC-M1A-PCI-01/pri/stby,Cisco,5555,10.38.64.237,FTX203610LX,Offline,HOL,PSS,US > HI > Honolulu > 10312 - 10312B01,INTERNAL|PCI
HOL-SEC-M1A-PCI-01/sec/act,Cisco,5555,10.38.64.236,FTX203610LV,Offline,HOL,PSS,US > HI > Honolulu > 10312 - 10312B01,INTERNAL|PCI
HOL-SEC-M1A-PCI-01/vsys1,Paloalto,pa-1420,10.38.67.70,'	026909003226,Online,HOL,PSS,US > HI > Honolulu > 10312 - 10312B01,INTERNAL|PCI
HOL-SEC-M1A-PCI-02/vsys1,Paloalto,pa-1420,10.38.67.71,'	026909003229,Online,HOL,PSS,US > HI > Honolulu > 10312 - 10312B01,INTERNAL|PCI
hol-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.38.68.31,FTX2237W09A,Offline,HOL,PSS,US > HI > Honolulu > 10312 - 10312B01,INTERNAL|PCI
hol-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.38.68.30,FTX2236W0LW,Offline,HOL,PSS,US > HI > Honolulu > 10312 - 10312B01,INTERNAL|PCI
hon-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.38.192.23,FTX2237W05S,Offline,Unknown Import,PSS,Unknown Import,INTERNAL|PCI
hon-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.38.192.22,FTX2237W05J,Offline,Unknown Import,PSS,Unknown Import,INTERNAL|PCI
ini-sec-m1a-wms-01-a,Cisco,FPR2130,,JMX2625X0XY,,Unknown Import,,Unknown Import,INTERNAL
intelepeer.caremark.com,Cisco,SM-56,10.126.5.18,FLM260307HBVWY,Online,EXT,Colo,US > TX > Dallas > Equinix COLO (EXT),INTERNAL
JAD175103AQ,Cisco,ASA5585-S10F10-K9,,JAD175103AQ,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX172880GA,Cisco,ASA5585-S10F10-K9,,JMX172880GA,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX172880GB,Cisco,ASA5585-S10F10-K9,,JMX172880GB,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX172880GD,Cisco,ASA5585-S10F10-K9,,JMX172880GD,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX172880GE,Cisco,ASA5585-S10F10-K9,,JMX172880GE,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX183080C,Cisco,ASA5585-S10F10-K9,,JMX183080C,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX19148055,Cisco,ASA5585-S10F10-K9,,JMX19148055,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX1914805R,Cisco,ASA5585-S10F10-K9,,JMX1914805R,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX191880DJ,Cisco,AMP7150-K9,,JMX191880DJ,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX193780KL,Cisco,ASA5585-S10F10-K9,,JMX193780KL,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX193780KP,Cisco,ASA5585-S10F10-K9,,JMX193780KP,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX193980DN,Cisco,ASA5585-S10F10-K9,,JMX193980DN,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX193980E1,Cisco,ASA5585-S10F10-K9,,JMX193980E1,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX193980E5,Cisco,ASA5585-S10F10-K9,,JMX193980E5,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX1951809D,Cisco,ASA5585-S10F10-K9,,JMX1951809D,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX1951809J,Cisco,ASA5585-S10F10-K9,,JMX1951809J,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX1951809M,Cisco,ASA5585-S10F10-K9,,JMX1951809M,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX1951809P,Cisco,ASA5585-S10F10-K9,,JMX1951809P,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2011805A,Cisco,ASA5585-S10F10-K9,,JMX2011805A,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2030L078,Cisco,ASA5585-S10F10-K9,,JMX2030L078,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2030L0A1,Cisco,ASA5585-S10F10-K9,,JMX2030L0A1,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2035L0CB,Cisco,ASA5585-S10F10-K9,,JMX2035L0CB,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2049L02J,Cisco,ASA5585-S10F10-K9,,JMX2049L02J,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2146100D,Cisco,ASA5585-S10F10-K9,,JMX2146100D,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2146100E,Cisco,ASA5585-S10F10-K9,,JMX2146100E,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2148102X,Cisco,ASA5585-S10F10-K9,,JMX2148102X,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2149100Y,Cisco,ASA5585-S10F10-K9,,JMX2149100Y,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX21491011,Cisco,ASA5585-S10F10-K9,,JMX21491011,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX21491013,Cisco,ASA5585-S10F10-K9,,JMX21491013,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2149101E,Cisco,ASA5585-S10F10-K9,,JMX2149101E,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2216G02Z,Cisco,ASA5516-FPWR-K9,,JMX2216G02Z,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2216G03V,Cisco,ASA5516-FPWR-K9,,JMX2216G03V,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2240G18W,Cisco,ASA5516-FPWR-K9,,JMX2240G18W,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2247L02K,Cisco,FPR4150-ASA-K9,,JMX2247L02K,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2305L02K,Cisco,FPR4150-ASA-K9,,JMX2305L02K,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2342Z02S,Cisco,FPR-2110,,JMX2342Z02S,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2342Z02W,Cisco,FPR-2110,,JMX2342Z02W,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2346X0E5,Cisco,ASA5516-FPWR-K9,,JMX2346X0E5,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2402L00Y,Cisco,FPR4125-ASA-K9,,JMX2402L00Y,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2431X07Q,Cisco,ASA5516-FPWR-K9,,JMX2431X07Q,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2431X07V,Cisco,ASA5516-FPWR-K9,,JMX2431X07V,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2431X07W,Cisco,ASA5516-FPWR-K9,,JMX2431X07W,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2431X080,Cisco,ASA5516-FPWR-K9,,JMX2431X080,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2449L01M,Cisco,FPR4145-NGFW-K9,,JMX2449L01M,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2515X19D,Cisco,FPR4115-NGFW-K9,,JMX2515X19D,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2515X1QH,Cisco,FPR4115-NGFW-K9,,JMX2515X1QH,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2515X1QU,Cisco,FPR4115-NGFW-K9,,JMX2515X1QU,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2515X1QV,Cisco,FPR4115-NGFW-K9,,JMX2515X1QV,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2515X1RT,Cisco,FPR4115-NGFW-K9,,JMX2515X1RT,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2515X1T1,Cisco,FPR4115-NGFW-K9,,JMX2515X1T1,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2532X0CC,Cisco,FPR4125-NGFW-K9,,JMX2532X0CC,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2532X0CP,Cisco,FPR4125-NGFW-K9,,JMX2532X0CP,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2543X17J,Cisco,FPR4125-ASA-K9,,JMX2543X17J,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2622X1J4,Cisco,FPR-2130-NGFW-K9,,JMX2622X1J4,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2625X0FB,Cisco,FPR4125-ASA-K9,,JMX2625X0FB,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2625X0FE,Cisco,FPR4125-ASA-K9,,JMX2625X0FE,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2721X15Y,Cisco,FPR-2130-NGFW-K9,,JMX2721X15Y,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2721X15Z,Cisco,FPR-2130-NGFW-K9,,JMX2721X15Z,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2721X160,Cisco,FPR4145-NGFW-K9,,JMX2721X160,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
JMX2732X06K,Cisco,FPR4125-ASA-K9,,JMX2732X06K,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
KNV-SEC-M1A-WMS-01/pri/act,Cisco,5516,10.193.33.10,JMX2144G1M7,Online,KNV,PCW,US > TN > Knoxville > 86012 - 86012B05,INTERNAL
KNV-SEC-M1A-WMS-01/sec/stby,Cisco,5516,10.193.33.9,JMX2144G1ER,Online,KNV,PCW,US > TN > Knoxville > 86012 - 86012B05,INTERNAL
knx-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.34.12.30,FTX2235W0CL,Offline,KNX,PCW,US > IN > Knox > 06538 - 06538B03,INTERNAL|PCI
knx-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.34.12.31,FTX2235W0FA,Offline,KNX,PCW,US > IN > Knox > 06538 - 06538B03,INTERNAL|PCI
lab_az2_ftd_egress_2,Cisco,Firepower Threat Defense for AWS,10.173.13.21,10.173.13.21,Offline,us-east-1,,AWS > us-east-1,LAB
lab_az2_ftd_ingress_1,Cisco,Firepower Threat Defense for AWS,10.173.11.53,10.173.11.53,Offline,us-east-1,,AWS > us-east-1,LAB
lab_az2_ftd_peering_1,Cisco,Firepower Threat Defense for AWS,10.173.15.20,10.173.15.20,Offline,us-east-1,,AWS > us-east-1,LAB
ldn-sec-m1a-wms-02:1,Cisco,FPR2130-NGFW-K9,10.193.65.22,JMX2622X1DY,Offline,LDN,PCW,US > TN > Loudon > 86012 - 86012B06,INTERNAL
lee-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.120.1.32,FTX2235W0TB,Offline,16731 - 16731B01,PCW,US > MO > Lees Summit > 16731 - 16731B01,INTERNAL|PCI
lee-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.120.1.33,FTX2235W0ST,Offline,16731 - 16731B01,PCW,US > MO > Lees Summit > 16731 - 16731B01,INTERNAL|PCI
lgs1501-01b-0104-ext-pa-fw01/vsys1,Paloalto,pa-5445,10.20.10.53,'	026101000713,Online,LGS,Colo,US > NV > Las Vegas > Switch COLO NAP-15 (LGS),PERIMETER
lgs1501-01b-0105-3rd-pa-fw01/vsys1,Paloalto,pa-5445,10.20.10.43,'	026101000706,Online,LGS,Colo,US > NV > Las Vegas > Switch COLO NAP-15 (LGS),
lgs1501-01b-0105-ext-dmz-pa-fw01/vsys1,Paloalto,pa-5445,10.20.10.35,'	026101000707,Online,LGS,Colo,US > NV > Las Vegas > Switch COLO NAP-15 (LGS),DMZ|PERIMETER
lgs1501-01b-0105-ext-dmz-pa-fw02/vsys1,Paloalto,pa-5445,10.20.10.36,'	026109000816,Online,CatchAllUnknown,,CatchAllUnknown,DMZ|PERIMETER
lgs1502-10c-0104-ext-pa-fw02/vsys1,Paloalto,pa-5445,10.20.10.54,'	026101000709,Online,LGS,Colo,US > NV > Las Vegas > Switch COLO NAP-15 (LGS),PERIMETER
lgs1502-10c-0105-3rd-pa-fw02/vsys1,Paloalto,pa-5445,10.20.10.44,'	026101000700,Online,LGS,Colo,US > NV > Las Vegas > Switch COLO NAP-15 (LGS),
lgs1502-10c-0105-ext-dmz-pa-fw02/vsys1,Paloalto,pa-5445,10.20.10.36,'	026101000712,Offline,LGS,Colo,US > NV > Las Vegas > Switch COLO NAP-15 (LGS),DMZ|PERIMETER
lnx-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.38.11.31,FTX2236W0LY,Offline,LNX,PSS,US > KS > Lenexa > 01702 - 01702B01,INTERNAL|PCI
lnx-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.38.11.30,FTX2236W0LU,Offline,LNX,PSS,US > KS > Lenexa > 01702 - 01702B01,INTERNAL|PCI
LR2018010013,Checkpoint,PH-20,,LR2018010013,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
LR20180100131,Checkpoint,PH-20,,LR20180100131,,RED,Colo,US > CT > North Haven > Red-Thread Warehouse,
LR2018010013141,Checkpoint,PH-20,,LR2018010013141,,Unknown Import,,Unknown Import,
LR2018010013251,Checkpoint,PH-20,,LR2018010013251,,Unknown Import,,Unknown Import,
LR20180100134,Checkpoint,PH-20,,LR20180100134,,Unknown Import,,Unknown Import,
LR20180100137,Checkpoint,PH-20,,LR20180100137,,Unknown Import,,Unknown Import,
LR201807002190,Checkpoint,PH-30,,LR201807002190,,Unknown Import,,Unknown Import,
LR201807002191,Checkpoint,PH-30,,LR201807002191,,Unknown Import,,Unknown Import,
lvg-sec-m1a-pci-01-a,Cisco,ASA5555-K9,10.182.27.222,FTX2241W0MC,Offline,LVG,PSS,US > NV > Las Vegas > 48639 - 48639B01,INTERNAL|PCI
lvg-sec-m1a-pci-01-s,Cisco,ASA5555-K9,10.182.27.221,FTX2241W0ME,Offline,LVG,PSS,US > NV > Las Vegas > 48639 - 48639B01,INTERNAL|PCI
lvg-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.182.0.150,FTX2302W065,Offline,LVG,PSS,US > NV > Las Vegas > 48639 - 48639B01,INTERNAL|PCI
lvg-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.182.0.151,FTX2302W063,Offline,LVG,PSS,US > NV > Las Vegas > 48639 - 48639B01,INTERNAL|PCI
medcare/medcare,Cisco,5585-SSP-60,,JMX195180BN/MEDCARE,,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
medhok/medhok,Cisco,5585-SSP-60,10.218.232.31,JMX1748804Y/medhok,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
medhokaws/medhok,Cisco,5585-SSP-60,10.0.127.41,JMX1952806K/MEDHOK,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,CLOUD|PERIMETER
MedHokAWS/MedHokAWS,Cisco,5585-SSP-60,,JMX1748804Y/MedHokAWS,,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
merwin/merwin,Cisco,5585-SSP-60,10.0.127.15,JMX1952806K/MERWIN,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
mid-fw-clouddmz-pa-a/vsys1,Paloalto,pa-3420,10.54.139.44,'	024209003055,Online,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,DMZ
mid-fw-clouddmz-pa-b/vsys1,Paloalto,pa-3420,10.54.139.58,'	024209003093,Online,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,DMZ
mid-fw-cvs-a:1,Checkpoint,23000 Appliances,206.213.247.21,206.213.247.21,Offline,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,CC
mid-fw-cvs-a:2,Checkpoint,PD-20-00,206.213.247.21,LR201710013514,Offline,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,CC
mid-fw-cvs-b:1,Checkpoint,23000 Appliances,206.213.247.22,206.213.247.22,Offline,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,CC
mid-fw-cvs-b:2,Checkpoint,PD-20-00,206.213.247.22,LR201710013516,Offline,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,CC
mid-fw-cvs-pa-a/vsys1,Paloalto,pa-3440,10.54.140.201,'	024409001922,Online,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,CC
mid-fw-cvs-pa-b/vsys1,Paloalto,pa-3440,10.54.140.202,'	024409001942,Online,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,CC
mid-fw-daas.aetna.com,Cisco,ASA5525-K9,167.69.234.32,FTX191110EH,Offline,MID,Aetna,US > CT > Middletown > CT3502 - CT3502B01,
